sample_index,video_frame_index,time_s_from_video_start,time_s_from_trim_start
0,1816,6.984615,0.000000
1,1817,6.988462,0.003846
2,1818,6.992308,0.007692
3,1819,6.996154,0.011538
4,1820,7.000000,0.015385
5,1821,7.003846,0.019231
6,1822,7.007692,0.023077
7,1823,7.011538,0.026923
8,1824,7.015385,0.030769
9,1825,7.019231,0.034615
10,1826,7.023077,0.038462
11,1827,7.026923,0.042308
12,1828,7.030769,0.046154
13,1829,7.034615,0.050000
14,1830,7.038462,0.053846
15,1831,7.042308,0.057692
16,1832,7.046154,0.061538
17,1833,7.050000,0.065385
18,1834,7.053846,0.069231
19,1835,7.057692,0.073077
20,1836,7.061538,0.076923
21,1837,7.065385,0.080769
22,1838,7.069231,0.084615
23,1839,7.073077,0.088462
24,1840,7.076923,0.092308
25,1841,7.080769,0.096154
26,1842,7.084615,0.100000
27,1843,7.088462,0.103846
28,1844,7.092308,0.107692
29,1845,7.096154,0.111538
30,1846,7.100000,0.115385
31,1847,7.103846,0.119231
32,1848,7.107692,0.123077
33,1849,7.111538,0.126923
34,1850,7.115385,0.130769
35,1851,7.119231,0.134615
36,1852,7.123077,0.138462
37,1853,7.126923,0.142308
38,1854,7.130769,0.146154
39,1855,7.134615,0.150000
40,1856,7.138462,0.153846
41,1857,7.142308,0.157692
42,1858,7.146154,0.161538
43,1859,7.150000,0.165385
44,1860,7.153846,0.169231
45,1861,7.157692,0.173077
46,1862,7.161538,0.176923
47,1863,7.165385,0.180769
48,1864,7.169231,0.184615
49,1865,7.173077,0.188462
50,1866,7.176923,0.192308
51,1867,7.180769,0.196154
52,1868,7.184615,0.200000
53,1869,7.188462,0.203846
54,1870,7.192308,0.207692
55,1871,7.196154,0.211538
56,1872,7.200000,0.215385
57,1873,7.203846,0.219231
58,1874,7.207692,0.223077
59,1875,7.211538,0.226923
60,1876,7.215385,0.230769
61,1877,7.219231,0.234615
62,1878,7.223077,0.238462
63,1879,7.226923,0.242308
64,1880,7.230769,0.246154
65,1881,7.234615,0.250000
66,1882,7.238462,0.253846
67,1883,7.242308,0.257692
68,1884,7.246154,0.261538
69,1885,7.250000,0.265385
70,1886,7.253846,0.269231
71,1887,7.257692,0.273077
72,1888,7.261538,0.276923
73,1889,7.265385,0.280769
74,1890,7.269231,0.284615
75,1891,7.273077,0.288462
76,1892,7.276923,0.292308
77,1893,7.280769,0.296154
78,1894,7.284615,0.300000
79,1895,7.288462,0.303846
80,1896,7.292308,0.307692
81,1897,7.296154,0.311538
82,1898,7.300000,0.315385
83,1899,7.303846,0.319231
84,1900,7.307692,0.323077
85,1901,7.311538,0.326923
86,1902,7.315385,0.330769
87,1903,7.319231,0.334615
88,1904,7.323077,0.338462
89,1905,7.326923,0.342308
90,1906,7.330769,0.346154
91,1907,7.334615,0.350000
92,1908,7.338462,0.353846
93,1909,7.342308,0.357692
94,1910,7.346154,0.361538
95,1911,7.350000,0.365385
96,1912,7.353846,0.369231
97,1913,7.357692,0.373077
98,1914,7.361538,0.376923
99,1915,7.365385,0.380769
100,1916,7.369231,0.384615
101,1917,7.373077,0.388462
102,1918,7.376923,0.392308
103,1919,7.380769,0.396154
104,1920,7.384615,0.400000
105,1921,7.388462,0.403846
106,1922,7.392308,0.407692
107,1923,7.396154,0.411538
108,1924,7.400000,0.415385
109,1925,7.403846,0.419231
110,1926,7.407692,0.423077
111,1927,7.411538,0.426923
112,1928,7.415385,0.430769
113,1929,7.419231,0.434615
114,1930,7.423077,0.438462
115,1931,7.426923,0.442308
116,1932,7.430769,0.446154
117,1933,7.434615,0.450000
118,1934,7.438462,0.453846
119,1935,7.442308,0.457692
120,1936,7.446154,0.461538
121,1937,7.450000,0.465385
122,1938,7.453846,0.469231
123,1939,7.457692,0.473077
124,1940,7.461538,0.476923
125,1941,7.465385,0.480769
126,1942,7.469231,0.484615
127,1943,7.473077,0.488462
128,1944,7.476923,0.492308
129,1945,7.480769,0.496154
130,1946,7.484615,0.500000
131,1947,7.488462,0.503846
132,1948,7.492308,0.507692
133,1949,7.496154,0.511538
134,1950,7.500000,0.515385
135,1951,7.503846,0.519231
136,1952,7.507692,0.523077
137,1953,7.511538,0.526923
138,1954,7.515385,0.530769
139,1955,7.519231,0.534615
140,1956,7.523077,0.538462
141,1957,7.526923,0.542308
142,1958,7.530769,0.546154
143,1959,7.534615,0.550000
144,1960,7.538462,0.553846
145,1961,7.542308,0.557692
146,1962,7.546154,0.561538
147,1963,7.550000,0.565385
148,1964,7.553846,0.569231
149,1965,7.557692,0.573077
150,1966,7.561538,0.576923
151,1967,7.565385,0.580769
152,1968,7.569231,0.584615
153,1969,7.573077,0.588462
154,1970,7.576923,0.592308
155,1971,7.580769,0.596154
156,1972,7.584615,0.600000
157,1973,7.588462,0.603846
158,1974,7.592308,0.607692
159,1975,7.596154,0.611538
160,1976,7.600000,0.615385
161,1977,7.603846,0.619231
162,1978,7.607692,0.623077
163,1979,7.611538,0.626923
164,1980,7.615385,0.630769
165,1981,7.619231,0.634615
166,1982,7.623077,0.638462
167,1983,7.626923,0.642308
168,1984,7.630769,0.646154
169,1985,7.634615,0.650000
170,1986,7.638462,0.653846
171,1987,7.642308,0.657692
172,1988,7.646154,0.661538
173,1989,7.650000,0.665385
174,1990,7.653846,0.669231
175,1991,7.657692,0.673077
176,1992,7.661538,0.676923
177,1993,7.665385,0.680769
178,1994,7.669231,0.684615
179,1995,7.673077,0.688462
180,1996,7.676923,0.692308
181,1997,7.680769,0.696154
182,1998,7.684615,0.700000
183,1999,7.688462,0.703846
184,2000,7.692308,0.707692
185,2001,7.696154,0.711538
186,2002,7.700000,0.715385
187,2003,7.703846,0.719231
188,2004,7.707692,0.723077
189,2005,7.711538,0.726923
190,2006,7.715385,0.730769
191,2007,7.719231,0.734615
192,2008,7.723077,0.738462
193,2009,7.726923,0.742308
194,2010,7.730769,0.746154
195,2011,7.734615,0.750000
196,2012,7.738462,0.753846
197,2013,7.742308,0.757692
198,2014,7.746154,0.761538
199,2015,7.750000,0.765385
200,2016,7.753846,0.769231
201,2017,7.757692,0.773077
202,2018,7.761538,0.776923
203,2019,7.765385,0.780769
204,2020,7.769231,0.784615
205,2021,7.773077,0.788462
206,2022,7.776923,0.792308
207,2023,7.780769,0.796154
208,2024,7.784615,0.800000
209,2025,7.788462,0.803846
210,2026,7.792308,0.807692
211,2027,7.796154,0.811538
212,2028,7.800000,0.815385
213,2029,7.803846,0.819231
214,2030,7.807692,0.823077
215,2031,7.811538,0.826923
216,2032,7.815385,0.830769
217,2033,7.819231,0.834615
218,2034,7.823077,0.838462
219,2035,7.826923,0.842308
220,2036,7.830769,0.846154
221,2037,7.834615,0.850000
222,2038,7.838462,0.853846
223,2039,7.842308,0.857692
224,2040,7.846154,0.861538
225,2041,7.850000,0.865385
226,2042,7.853846,0.869231
227,2043,7.857692,0.873077
228,2044,7.861538,0.876923
229,2045,7.865385,0.880769
230,2046,7.869231,0.884615
231,2047,7.873077,0.888462
232,2048,7.876923,0.892308
233,2049,7.880769,0.896154
234,2050,7.884615,0.900000
235,2051,7.888462,0.903846
236,2052,7.892308,0.907692
237,2053,7.896154,0.911538
238,2054,7.900000,0.915385
239,2055,7.903846,0.919231
240,2056,7.907692,0.923077
241,2057,7.911538,0.926923
242,2058,7.915385,0.930769
243,2059,7.919231,0.934615
244,2060,7.923077,0.938462
245,2061,7.926923,0.942308
246,2062,7.930769,0.946154
247,2063,7.934615,0.950000
248,2064,7.938462,0.953846
249,2065,7.942308,0.957692
250,2066,7.946154,0.961538
251,2067,7.950000,0.965385
252,2068,7.953846,0.969231
253,2069,7.957692,0.973077
254,2070,7.961538,0.976923
255,2071,7.965385,0.980769
256,2072,7.969231,0.984615
257,2073,7.973077,0.988462
258,2074,7.976923,0.992308
259,2075,7.980769,0.996154
260,2076,7.984615,1.000000
261,2077,7.988462,1.003846
262,2078,7.992308,1.007692
263,2079,7.996154,1.011538
264,2080,8.000000,1.015385
265,2081,8.003846,1.019231
266,2082,8.007692,1.023077
267,2083,8.011538,1.026923
268,2084,8.015385,1.030769
269,2085,8.019231,1.034615
270,2086,8.023077,1.038462
271,2087,8.026923,1.042308
272,2088,8.030769,1.046154
273,2089,8.034615,1.050000
274,2090,8.038462,1.053846
