video_id,filename,sha256,size_bytes,codec,pix_fmt,width,height,r_frame_rate,avg_frame_rate,header_fps,duration_s,header_frames,counted_frames,variable_frame_rate,timestamp_jitter,black_frames,mean_saturated_share,light_peak_level,roi_found,roi_variance_ratio,bimodality,dominant_freq_hz,freq_peak_strength,has_truth,truth_n_bits,truth_ones_share,verdict,verdict_reasons
1LED_92bps,1LED_92bps.mp4,ec24d5ecbb2c82f0bec225935fae2b49fcf1b43a88392de1bbbf7ebe6c311469,101879697,mpeg4,yuv420p,640,360,260.0,260.0,260.0,115.608,30058,8000,False,9e-05,0,2.1012369870732073e-06,255.0,True,9848.4,14.671,37.7,3.57,False,,,amber,"header says 30058 frames, we counted 8000; the light reaches 255 out of 255, so its brightness is clipped at the top — on/off still works, but the exact level is lost; no ground truth — BER cannot be computed for this video"
2LEDs_92bps,2LEDs_92bps.mp4,a0c467cda2f48ea249c9b146906f644296968c1ca43159e5bfdecb51ff934f51,62142816,mpeg4,yuv420p,640,360,260.0,260.0,260.0,81.373,21157,8000,False,9e-05,0,6.083333573769778e-05,255.0,True,10464.33,9.942,39.0,2.96,False,,,amber,"header says 21157 frames, we counted 8000; the light reaches 255 out of 255, so its brightness is clipped at the top — on/off still works, but the exact level is lost; no clear repeating rhythm in the brightness (peak strength 2.96); no ground truth — BER cannot be computed for this video"
3LEDs_92bps,3LEDs_92bps.mp4,abf867d80deadb05a6ebb88dde7283656471fc8eb30d780ff8ac6f4ace880d8a,33978463,mpeg4,yuv420p,640,360,260.0,260.0,260.0,50.219,13057,8000,False,9e-05,0,6.494140052382136e-06,255.0,True,15456.55,12.641,39.0,3.36,False,,,amber,"header says 13057 frames, we counted 8000; the light reaches 255 out of 255, so its brightness is clipped at the top — on/off still works, but the exact level is lost; no ground truth — BER cannot be computed for this video"
4LEDs_92bps,4LEDs_92bps.mp4,2034cc19edeb2cdf08403e97395e16e0015566e1eeef3f7d103518ccfbbc76ba,37920341,mpeg4,yuv420p,640,360,260.0,260.0,260.0,42.435,11033,8000,False,9e-05,0,0.00013786023191642016,255.0,True,15649.68,19.069,28.6,2.82,False,,,amber,"header says 11033 frames, we counted 8000; the light reaches 255 out of 255, so its brightness is clipped at the top — on/off still works, but the exact level is lost; no clear repeating rhythm in the brightness (peak strength 2.82); no ground truth — BER cannot be computed for this video"
