sample_index,video_frame_index,time_s_from_video_start,time_s_from_trim_start
213,1178,4.530769,0.819231
214,1179,4.534615,0.823077
215,1180,4.538462,0.826923
216,1181,4.542308,0.830769
217,1182,4.546154,0.834615
218,1183,4.550000,0.838462
219,1184,4.553846,0.842308
220,1185,4.557692,0.846154
221,1186,4.561538,0.850000
222,1187,4.565385,0.853846
223,1188,4.569231,0.857692
224,1189,4.573077,0.861538
225,1190,4.576923,0.865385
226,1191,4.580769,0.869231
227,1192,4.584615,0.873077
228,1193,4.588462,0.876923
229,1194,4.592308,0.880769
230,1195,4.596154,0.884615
231,1196,4.600000,0.888462
232,1197,4.603846,0.892308
233,1198,4.607692,0.896154
234,1199,4.611538,0.900000
235,1200,4.615385,0.903846
236,1201,4.619231,0.907692
237,1202,4.623077,0.911538
238,1203,4.626923,0.915385
239,1204,4.630769,0.919231
240,1205,4.634615,0.923077
241,1206,4.638462,0.926923
242,1207,4.642308,0.930769
243,1208,4.646154,0.934615
244,1209,4.650000,0.938462
245,1210,4.653846,0.942308
246,1211,4.657692,0.946154
247,1212,4.661538,0.950000
248,1213,4.665385,0.953846
249,1214,4.669231,0.957692
250,1215,4.673077,0.961538
251,1216,4.676923,0.965385
252,1217,4.680769,0.969231
253,1218,4.684615,0.973077
254,1219,4.688462,0.976923
255,1220,4.692308,0.980769
256,1221,4.696154,0.984615
257,1222,4.700000,0.988462
258,1223,4.703846,0.992308
259,1224,4.707692,0.996154
260,1225,4.711538,1.000000
261,1226,4.715385,1.003846
262,1227,4.719231,1.007692
263,1228,4.723077,1.011538
264,1229,4.726923,1.015385
265,1230,4.730769,1.019231
266,1231,4.734615,1.023077
267,1232,4.738462,1.026923
268,1233,4.742308,1.030769
269,1234,4.746154,1.034615
270,1235,4.750000,1.038462
271,1236,4.753846,1.042308
272,1237,4.757692,1.046154
273,1238,4.761538,1.050000
274,1239,4.765385,1.053846
275,1240,4.769231,1.057692
276,1241,4.773077,1.061538
277,1242,4.776923,1.065385
278,1243,4.780769,1.069231
279,1244,4.784615,1.073077
280,1245,4.788462,1.076923
281,1246,4.792308,1.080769
282,1247,4.796154,1.084615
283,1248,4.800000,1.088462
284,1249,4.803846,1.092308
285,1250,4.807692,1.096154
286,1251,4.811538,1.100000
287,1252,4.815385,1.103846
288,1253,4.819231,1.107692
289,1254,4.823077,1.111538
290,1255,4.826923,1.115385
291,1256,4.830769,1.119231
292,1257,4.834615,1.123077
293,1258,4.838462,1.126923
294,1259,4.842308,1.130769
295,1260,4.846154,1.134615
296,1261,4.850000,1.138462
297,1262,4.853846,1.142308
298,1263,4.857692,1.146154
299,1264,4.861538,1.150000
300,1265,4.865385,1.153846
301,1266,4.869231,1.157692
302,1267,4.873077,1.161538
303,1268,4.876923,1.165385
304,1269,4.880769,1.169231
305,1270,4.884615,1.173077
306,1271,4.888462,1.176923
307,1272,4.892308,1.180769
308,1273,4.896154,1.184615
309,1274,4.900000,1.188462
310,1275,4.903846,1.192308
311,1276,4.907692,1.196154
312,1277,4.911538,1.200000
313,1278,4.915385,1.203846
314,1279,4.919231,1.207692
315,1280,4.923077,1.211538
316,1281,4.926923,1.215385
317,1282,4.930769,1.219231
318,1283,4.934615,1.223077
319,1284,4.938462,1.226923
320,1285,4.942308,1.230769
321,1286,4.946154,1.234615
322,1287,4.950000,1.238462
323,1288,4.953846,1.242308
324,1289,4.957692,1.246154
325,1290,4.961538,1.250000
326,1291,4.965385,1.253846
327,1292,4.969231,1.257692
328,1293,4.973077,1.261538
329,1294,4.976923,1.265385
330,1295,4.980769,1.269231
331,1296,4.984615,1.273077
332,1297,4.988462,1.276923
333,1298,4.992308,1.280769
334,1299,4.996154,1.284615
335,1300,5.000000,1.288462
336,1301,5.003846,1.292308
337,1302,5.007692,1.296154
338,1303,5.011538,1.300000
339,1304,5.015385,1.303846
340,1305,5.019231,1.307692
341,1306,5.023077,1.311538
342,1307,5.026923,1.315385
343,1308,5.030769,1.319231
344,1309,5.034615,1.323077
345,1310,5.038462,1.326923
346,1311,5.042308,1.330769
347,1312,5.046154,1.334615
348,1313,5.050000,1.338462
349,1314,5.053846,1.342308
350,1315,5.057692,1.346154
351,1316,5.061538,1.350000
352,1317,5.065385,1.353846
353,1318,5.069231,1.357692
354,1319,5.073077,1.361538
355,1320,5.076923,1.365385
356,1321,5.080769,1.369231
357,1322,5.084615,1.373077
358,1323,5.088462,1.376923
359,1324,5.092308,1.380769
360,1325,5.096154,1.384615
361,1326,5.100000,1.388462
362,1327,5.103846,1.392308
363,1328,5.107692,1.396154
364,1329,5.111538,1.400000
365,1330,5.115385,1.403846
366,1331,5.119231,1.407692
367,1332,5.123077,1.411538
368,1333,5.126923,1.415385
369,1334,5.130769,1.419231
370,1335,5.134615,1.423077
371,1336,5.138462,1.426923
372,1337,5.142308,1.430769
373,1338,5.146154,1.434615
374,1339,5.150000,1.438462
375,1340,5.153846,1.442308
376,1341,5.157692,1.446154
377,1342,5.161538,1.450000
378,1343,5.165385,1.453846
379,1344,5.169231,1.457692
380,1345,5.173077,1.461538
381,1346,5.176923,1.465385
382,1347,5.180769,1.469231
383,1348,5.184615,1.473077
384,1349,5.188462,1.476923
385,1350,5.192308,1.480769
386,1351,5.196154,1.484615
387,1352,5.200000,1.488462
388,1353,5.203846,1.492308
389,1354,5.207692,1.496154
390,1355,5.211538,1.500000
391,1356,5.215385,1.503846
392,1357,5.219231,1.507692
393,1358,5.223077,1.511538
394,1359,5.226923,1.515385
395,1360,5.230769,1.519231
396,1361,5.234615,1.523077
397,1362,5.238462,1.526923
398,1363,5.242308,1.530769
399,1364,5.246154,1.534615
400,1365,5.250000,1.538462
401,1366,5.253846,1.542308
402,1367,5.257692,1.546154
403,1368,5.261538,1.550000
404,1369,5.265385,1.553846
405,1370,5.269231,1.557692
406,1371,5.273077,1.561538
407,1372,5.276923,1.565385
408,1373,5.280769,1.569231
409,1374,5.284615,1.573077
410,1375,5.288462,1.576923
411,1376,5.292308,1.580769
412,1377,5.296154,1.584615
413,1378,5.300000,1.588462
414,1379,5.303846,1.592308
415,1380,5.307692,1.596154
416,1381,5.311538,1.600000
417,1382,5.315385,1.603846
418,1383,5.319231,1.607692
419,1384,5.323077,1.611538
420,1385,5.326923,1.615385
421,1386,5.330769,1.619231
422,1387,5.334615,1.623077
423,1388,5.338462,1.626923
424,1389,5.342308,1.630769
425,1390,5.346154,1.634615
426,1391,5.350000,1.638462
427,1392,5.353846,1.642308
428,1393,5.357692,1.646154
429,1394,5.361538,1.650000
430,1395,5.365385,1.653846
431,1396,5.369231,1.657692
432,1397,5.373077,1.661538
433,1398,5.376923,1.665385
434,1399,5.380769,1.669231
435,1400,5.384615,1.673077
436,1401,5.388462,1.676923
437,1402,5.392308,1.680769
438,1403,5.396154,1.684615
439,1404,5.400000,1.688462
440,1405,5.403846,1.692308
441,1406,5.407692,1.696154
442,1407,5.411538,1.700000
443,1408,5.415385,1.703846
444,1409,5.419231,1.707692
445,1410,5.423077,1.711538
446,1411,5.426923,1.715385
447,1412,5.430769,1.719231
448,1413,5.434615,1.723077
449,1414,5.438462,1.726923
450,1415,5.442308,1.730769
451,1416,5.446154,1.734615
452,1417,5.450000,1.738462
453,1418,5.453846,1.742308
454,1419,5.457692,1.746154
455,1420,5.461538,1.750000
456,1421,5.465385,1.753846
457,1422,5.469231,1.757692
458,1423,5.473077,1.761538
459,1424,5.476923,1.765385
460,1425,5.480769,1.769231
461,1426,5.484615,1.773077
462,1427,5.488462,1.776923
463,1428,5.492308,1.780769
464,1429,5.496154,1.784615
465,1430,5.500000,1.788462
466,1431,5.503846,1.792308
467,1432,5.507692,1.796154
468,1433,5.511538,1.800000
469,1434,5.515385,1.803846
470,1435,5.519231,1.807692
