sample_index,video_frame_index,time_s_from_video_start,time_s_from_trim_start
226,443,1.703846,0.869231
227,444,1.707692,0.873077
228,445,1.711538,0.876923
229,446,1.715385,0.880769
230,447,1.719231,0.884615
231,448,1.723077,0.888462
232,449,1.726923,0.892308
233,450,1.730769,0.896154
234,451,1.734615,0.900000
235,452,1.738462,0.903846
236,453,1.742308,0.907692
237,454,1.746154,0.911538
238,455,1.750000,0.915385
239,456,1.753846,0.919231
240,457,1.757692,0.923077
241,458,1.761538,0.926923
242,459,1.765385,0.930769
243,460,1.769231,0.934615
244,461,1.773077,0.938462
245,462,1.776923,0.942308
246,463,1.780769,0.946154
247,464,1.784615,0.950000
248,465,1.788462,0.953846
249,466,1.792308,0.957692
250,467,1.796154,0.961538
251,468,1.800000,0.965385
252,469,1.803846,0.969231
253,470,1.807692,0.973077
254,471,1.811538,0.976923
255,472,1.815385,0.980769
256,473,1.819231,0.984615
257,474,1.823077,0.988462
258,475,1.826923,0.992308
259,476,1.830769,0.996154
260,477,1.834615,1.000000
261,478,1.838462,1.003846
262,479,1.842308,1.007692
263,480,1.846154,1.011538
264,481,1.850000,1.015385
265,482,1.853846,1.019231
266,483,1.857692,1.023077
267,484,1.861538,1.026923
268,485,1.865385,1.030769
269,486,1.869231,1.034615
270,487,1.873077,1.038462
271,488,1.876923,1.042308
272,489,1.880769,1.046154
273,490,1.884615,1.050000
274,491,1.888462,1.053846
275,492,1.892308,1.057692
276,493,1.896154,1.061538
277,494,1.900000,1.065385
278,495,1.903846,1.069231
279,496,1.907692,1.073077
280,497,1.911538,1.076923
281,498,1.915385,1.080769
282,499,1.919231,1.084615
283,500,1.923077,1.088462
284,501,1.926923,1.092308
285,502,1.930769,1.096154
286,503,1.934615,1.100000
287,504,1.938462,1.103846
288,505,1.942308,1.107692
289,506,1.946154,1.111538
290,507,1.950000,1.115385
291,508,1.953846,1.119231
292,509,1.957692,1.123077
293,510,1.961538,1.126923
294,511,1.965385,1.130769
295,512,1.969231,1.134615
296,513,1.973077,1.138462
297,514,1.976923,1.142308
298,515,1.980769,1.146154
299,516,1.984615,1.150000
300,517,1.988462,1.153846
301,518,1.992308,1.157692
302,519,1.996154,1.161538
303,520,2.000000,1.165385
304,521,2.003846,1.169231
305,522,2.007692,1.173077
306,523,2.011538,1.176923
307,524,2.015385,1.180769
