sample_index,video_frame_index,time_s_from_video_start,time_s_from_trim_start
0,975,3.750000,0.000000
1,976,3.753846,0.003846
2,977,3.757692,0.007692
3,978,3.761538,0.011538
4,979,3.765385,0.015385
5,980,3.769231,0.019231
6,981,3.773077,0.023077
7,982,3.776923,0.026923
8,983,3.780769,0.030769
9,984,3.784615,0.034615
10,985,3.788462,0.038462
11,986,3.792308,0.042308
12,987,3.796154,0.046154
13,988,3.800000,0.050000
14,989,3.803846,0.053846
15,990,3.807692,0.057692
16,991,3.811538,0.061538
17,992,3.815385,0.065385
18,993,3.819231,0.069231
19,994,3.823077,0.073077
20,995,3.826923,0.076923
21,996,3.830769,0.080769
22,997,3.834615,0.084615
23,998,3.838462,0.088462
24,999,3.842308,0.092308
25,1000,3.846154,0.096154
26,1001,3.850000,0.100000
27,1002,3.853846,0.103846
28,1003,3.857692,0.107692
29,1004,3.861538,0.111538
30,1005,3.865385,0.115385
31,1006,3.869231,0.119231
32,1007,3.873077,0.123077
33,1008,3.876923,0.126923
34,1009,3.880769,0.130769
35,1010,3.884615,0.134615
36,1011,3.888462,0.138462
37,1012,3.892308,0.142308
38,1013,3.896154,0.146154
39,1014,3.900000,0.150000
40,1015,3.903846,0.153846
41,1016,3.907692,0.157692
42,1017,3.911538,0.161538
43,1018,3.915385,0.165385
44,1019,3.919231,0.169231
45,1020,3.923077,0.173077
46,1021,3.926923,0.176923
47,1022,3.930769,0.180769
48,1023,3.934615,0.184615
49,1024,3.938462,0.188462
50,1025,3.942308,0.192308
51,1026,3.946154,0.196154
52,1027,3.950000,0.200000
53,1028,3.953846,0.203846
54,1029,3.957692,0.207692
55,1030,3.961538,0.211538
56,1031,3.965385,0.215385
57,1032,3.969231,0.219231
58,1033,3.973077,0.223077
59,1034,3.976923,0.226923
60,1035,3.980769,0.230769
61,1036,3.984615,0.234615
62,1037,3.988462,0.238462
63,1038,3.992308,0.242308
64,1039,3.996154,0.246154
65,1040,4.000000,0.250000
66,1041,4.003846,0.253846
67,1042,4.007692,0.257692
68,1043,4.011538,0.261538
69,1044,4.015385,0.265385
70,1045,4.019231,0.269231
71,1046,4.023077,0.273077
72,1047,4.026923,0.276923
73,1048,4.030769,0.280769
74,1049,4.034615,0.284615
75,1050,4.038462,0.288462
76,1051,4.042308,0.292308
77,1052,4.046154,0.296154
78,1053,4.050000,0.300000
79,1054,4.053846,0.303846
80,1055,4.057692,0.307692
81,1056,4.061538,0.311538
82,1057,4.065385,0.315385
83,1058,4.069231,0.319231
84,1059,4.073077,0.323077
85,1060,4.076923,0.326923
86,1061,4.080769,0.330769
87,1062,4.084615,0.334615
88,1063,4.088462,0.338462
89,1064,4.092308,0.342308
90,1065,4.096154,0.346154
91,1066,4.100000,0.350000
92,1067,4.103846,0.353846
93,1068,4.107692,0.357692
94,1069,4.111538,0.361538
95,1070,4.115385,0.365385
96,1071,4.119231,0.369231
97,1072,4.123077,0.373077
98,1073,4.126923,0.376923
99,1074,4.130769,0.380769
100,1075,4.134615,0.384615
101,1076,4.138462,0.388462
102,1077,4.142308,0.392308
103,1078,4.146154,0.396154
104,1079,4.150000,0.400000
105,1080,4.153846,0.403846
106,1081,4.157692,0.407692
107,1082,4.161538,0.411538
108,1083,4.165385,0.415385
109,1084,4.169231,0.419231
110,1085,4.173077,0.423077
111,1086,4.176923,0.426923
112,1087,4.180769,0.430769
113,1088,4.184615,0.434615
114,1089,4.188462,0.438462
115,1090,4.192308,0.442308
116,1091,4.196154,0.446154
117,1092,4.200000,0.450000
118,1093,4.203846,0.453846
119,1094,4.207692,0.457692
120,1095,4.211538,0.461538
121,1096,4.215385,0.465385
122,1097,4.219231,0.469231
123,1098,4.223077,0.473077
124,1099,4.226923,0.476923
125,1100,4.230769,0.480769
126,1101,4.234615,0.484615
127,1102,4.238462,0.488462
128,1103,4.242308,0.492308
129,1104,4.246154,0.496154
130,1105,4.250000,0.500000
131,1106,4.253846,0.503846
132,1107,4.257692,0.507692
133,1108,4.261538,0.511538
134,1109,4.265385,0.515385
135,1110,4.269231,0.519231
136,1111,4.273077,0.523077
137,1112,4.276923,0.526923
138,1113,4.280769,0.530769
139,1114,4.284615,0.534615
140,1115,4.288462,0.538462
141,1116,4.292308,0.542308
142,1117,4.296154,0.546154
143,1118,4.300000,0.550000
144,1119,4.303846,0.553846
145,1120,4.307692,0.557692
146,1121,4.311538,0.561538
147,1122,4.315385,0.565385
148,1123,4.319231,0.569231
149,1124,4.323077,0.573077
150,1125,4.326923,0.576923
151,1126,4.330769,0.580769
152,1127,4.334615,0.584615
153,1128,4.338462,0.588462
154,1129,4.342308,0.592308
155,1130,4.346154,0.596154
156,1131,4.350000,0.600000
157,1132,4.353846,0.603846
158,1133,4.357692,0.607692
159,1134,4.361538,0.611538
160,1135,4.365385,0.615385
161,1136,4.369231,0.619231
162,1137,4.373077,0.623077
163,1138,4.376923,0.626923
164,1139,4.380769,0.630769
165,1140,4.384615,0.634615
166,1141,4.388462,0.638462
167,1142,4.392308,0.642308
168,1143,4.396154,0.646154
169,1144,4.400000,0.650000
170,1145,4.403846,0.653846
171,1146,4.407692,0.657692
172,1147,4.411538,0.661538
173,1148,4.415385,0.665385
174,1149,4.419231,0.669231
175,1150,4.423077,0.673077
176,1151,4.426923,0.676923
177,1152,4.430769,0.680769
178,1153,4.434615,0.684615
179,1154,4.438462,0.688462
180,1155,4.442308,0.692308
181,1156,4.446154,0.696154
182,1157,4.450000,0.700000
183,1158,4.453846,0.703846
184,1159,4.457692,0.707692
185,1160,4.461538,0.711538
186,1161,4.465385,0.715385
187,1162,4.469231,0.719231
188,1163,4.473077,0.723077
189,1164,4.476923,0.726923
190,1165,4.480769,0.730769
191,1166,4.484615,0.734615
192,1167,4.488462,0.738462
193,1168,4.492308,0.742308
194,1169,4.496154,0.746154
195,1170,4.500000,0.750000
196,1171,4.503846,0.753846
197,1172,4.507692,0.757692
198,1173,4.511538,0.761538
199,1174,4.515385,0.765385
200,1175,4.519231,0.769231
201,1176,4.523077,0.773077
202,1177,4.526923,0.776923
203,1178,4.530769,0.780769
204,1179,4.534615,0.784615
205,1180,4.538462,0.788462
206,1181,4.542308,0.792308
207,1182,4.546154,0.796154
208,1183,4.550000,0.800000
209,1184,4.553846,0.803846
210,1185,4.557692,0.807692
211,1186,4.561538,0.811538
212,1187,4.565385,0.815385
213,1188,4.569231,0.819231
214,1189,4.573077,0.823077
215,1190,4.576923,0.826923
216,1191,4.580769,0.830769
217,1192,4.584615,0.834615
218,1193,4.588462,0.838462
219,1194,4.592308,0.842308
220,1195,4.596154,0.846154
221,1196,4.600000,0.850000
222,1197,4.603846,0.853846
223,1198,4.607692,0.857692
224,1199,4.611538,0.861538
225,1200,4.615385,0.865385
226,1201,4.619231,0.869231
227,1202,4.623077,0.873077
228,1203,4.626923,0.876923
229,1204,4.630769,0.880769
230,1205,4.634615,0.884615
231,1206,4.638462,0.888462
232,1207,4.642308,0.892308
233,1208,4.646154,0.896154
234,1209,4.650000,0.900000
235,1210,4.653846,0.903846
236,1211,4.657692,0.907692
237,1212,4.661538,0.911538
238,1213,4.665385,0.915385
239,1214,4.669231,0.919231
240,1215,4.673077,0.923077
241,1216,4.676923,0.926923
242,1217,4.680769,0.930769
243,1218,4.684615,0.934615
244,1219,4.688462,0.938462
245,1220,4.692308,0.942308
246,1221,4.696154,0.946154
247,1222,4.700000,0.950000
248,1223,4.703846,0.953846
249,1224,4.707692,0.957692
250,1225,4.711538,0.961538
251,1226,4.715385,0.965385
252,1227,4.719231,0.969231
253,1228,4.723077,0.973077
254,1229,4.726923,0.976923
255,1230,4.730769,0.980769
256,1231,4.734615,0.984615
257,1232,4.738462,0.988462
258,1233,4.742308,0.992308
259,1234,4.746154,0.996154
260,1235,4.750000,1.000000
261,1236,4.753846,1.003846
262,1237,4.757692,1.007692
263,1238,4.761538,1.011538
264,1239,4.765385,1.015385
265,1240,4.769231,1.019231
266,1241,4.773077,1.023077
267,1242,4.776923,1.026923
268,1243,4.780769,1.030769
269,1244,4.784615,1.034615
270,1245,4.788462,1.038462
271,1246,4.792308,1.042308
272,1247,4.796154,1.046154
273,1248,4.800000,1.050000
274,1249,4.803846,1.053846
275,1250,4.807692,1.057692
276,1251,4.811538,1.061538
277,1252,4.815385,1.065385
278,1253,4.819231,1.069231
279,1254,4.823077,1.073077
280,1255,4.826923,1.076923
281,1256,4.830769,1.080769
282,1257,4.834615,1.084615
283,1258,4.838462,1.088462
284,1259,4.842308,1.092308
285,1260,4.846154,1.096154
286,1261,4.850000,1.100000
287,1262,4.853846,1.103846
288,1263,4.857692,1.107692
289,1264,4.861538,1.111538
290,1265,4.865385,1.115385
291,1266,4.869231,1.119231
292,1267,4.873077,1.123077
293,1268,4.876923,1.126923
294,1269,4.880769,1.130769
295,1270,4.884615,1.134615
296,1271,4.888462,1.138462
297,1272,4.892308,1.142308
298,1273,4.896154,1.146154
299,1274,4.900000,1.150000
300,1275,4.903846,1.153846
301,1276,4.907692,1.157692
302,1277,4.911538,1.161538
303,1278,4.915385,1.165385
304,1279,4.919231,1.169231
305,1280,4.923077,1.173077
306,1281,4.926923,1.176923
307,1282,4.930769,1.180769
308,1283,4.934615,1.184615
309,1284,4.938462,1.188462
310,1285,4.942308,1.192308
311,1286,4.946154,1.196154
312,1287,4.950000,1.200000
313,1288,4.953846,1.203846
314,1289,4.957692,1.207692
315,1290,4.961538,1.211538
316,1291,4.965385,1.215385
317,1292,4.969231,1.219231
318,1293,4.973077,1.223077
319,1294,4.976923,1.226923
320,1295,4.980769,1.230769
321,1296,4.984615,1.234615
322,1297,4.988462,1.238462
323,1298,4.992308,1.242308
324,1299,4.996154,1.246154
325,1300,5.000000,1.250000
326,1301,5.003846,1.253846
327,1302,5.007692,1.257692
328,1303,5.011538,1.261538
329,1304,5.015385,1.265385
330,1305,5.019231,1.269231
331,1306,5.023077,1.273077
332,1307,5.026923,1.276923
333,1308,5.030769,1.280769
334,1309,5.034615,1.284615
335,1310,5.038462,1.288462
336,1311,5.042308,1.292308
337,1312,5.046154,1.296154
338,1313,5.050000,1.300000
339,1314,5.053846,1.303846
340,1315,5.057692,1.307692
341,1316,5.061538,1.311538
342,1317,5.065385,1.315385
343,1318,5.069231,1.319231
344,1319,5.073077,1.323077
345,1320,5.076923,1.326923
346,1321,5.080769,1.330769
347,1322,5.084615,1.334615
348,1323,5.088462,1.338462
349,1324,5.092308,1.342308
350,1325,5.096154,1.346154
351,1326,5.100000,1.350000
352,1327,5.103846,1.353846
353,1328,5.107692,1.357692
354,1329,5.111538,1.361538
355,1330,5.115385,1.365385
356,1331,5.119231,1.369231
357,1332,5.123077,1.373077
358,1333,5.126923,1.376923
359,1334,5.130769,1.380769
360,1335,5.134615,1.384615
361,1336,5.138462,1.388462
362,1337,5.142308,1.392308
363,1338,5.146154,1.396154
364,1339,5.150000,1.400000
365,1340,5.153846,1.403846
366,1341,5.157692,1.407692
367,1342,5.161538,1.411538
368,1343,5.165385,1.415385
369,1344,5.169231,1.419231
370,1345,5.173077,1.423077
371,1346,5.176923,1.426923
372,1347,5.180769,1.430769
373,1348,5.184615,1.434615
374,1349,5.188462,1.438462
375,1350,5.192308,1.442308
376,1351,5.196154,1.446154
377,1352,5.200000,1.450000
378,1353,5.203846,1.453846
379,1354,5.207692,1.457692
380,1355,5.211538,1.461538
381,1356,5.215385,1.465385
382,1357,5.219231,1.469231
383,1358,5.223077,1.473077
384,1359,5.226923,1.476923
385,1360,5.230769,1.480769
386,1361,5.234615,1.484615
387,1362,5.238462,1.488462
388,1363,5.242308,1.492308
389,1364,5.246154,1.496154
390,1365,5.250000,1.500000
391,1366,5.253846,1.503846
392,1367,5.257692,1.507692
393,1368,5.261538,1.511538
394,1369,5.265385,1.515385
395,1370,5.269231,1.519231
396,1371,5.273077,1.523077
397,1372,5.276923,1.526923
398,1373,5.280769,1.530769
399,1374,5.284615,1.534615
400,1375,5.288462,1.538462
401,1376,5.292308,1.542308
402,1377,5.296154,1.546154
403,1378,5.300000,1.550000
404,1379,5.303846,1.553846
405,1380,5.307692,1.557692
406,1381,5.311538,1.561538
407,1382,5.315385,1.565385
408,1383,5.319231,1.569231
409,1384,5.323077,1.573077
410,1385,5.326923,1.576923
411,1386,5.330769,1.580769
412,1387,5.334615,1.584615
413,1388,5.338462,1.588462
414,1389,5.342308,1.592308
415,1390,5.346154,1.596154
416,1391,5.350000,1.600000
417,1392,5.353846,1.603846
418,1393,5.357692,1.607692
419,1394,5.361538,1.611538
420,1395,5.365385,1.615385
421,1396,5.369231,1.619231
422,1397,5.373077,1.623077
423,1398,5.376923,1.626923
424,1399,5.380769,1.630769
425,1400,5.384615,1.634615
426,1401,5.388462,1.638462
427,1402,5.392308,1.642308
428,1403,5.396154,1.646154
429,1404,5.400000,1.650000
430,1405,5.403846,1.653846
431,1406,5.407692,1.657692
432,1407,5.411538,1.661538
433,1408,5.415385,1.665385
434,1409,5.419231,1.669231
435,1410,5.423077,1.673077
436,1411,5.426923,1.676923
437,1412,5.430769,1.680769
438,1413,5.434615,1.684615
439,1414,5.438462,1.688462
440,1415,5.442308,1.692308
441,1416,5.446154,1.696154
442,1417,5.450000,1.700000
443,1418,5.453846,1.703846
444,1419,5.457692,1.707692
445,1420,5.461538,1.711538
446,1421,5.465385,1.715385
447,1422,5.469231,1.719231
448,1423,5.473077,1.723077
449,1424,5.476923,1.726923
450,1425,5.480769,1.730769
451,1426,5.484615,1.734615
452,1427,5.488462,1.738462
453,1428,5.492308,1.742308
454,1429,5.496154,1.746154
455,1430,5.500000,1.750000
456,1431,5.503846,1.753846
457,1432,5.507692,1.757692
458,1433,5.511538,1.761538
459,1434,5.515385,1.765385
460,1435,5.519231,1.769231
461,1436,5.523077,1.773077
462,1437,5.526923,1.776923
463,1438,5.530769,1.780769
464,1439,5.534615,1.784615
465,1440,5.538462,1.788462
466,1441,5.542308,1.792308
467,1442,5.546154,1.796154
468,1443,5.550000,1.800000
469,1444,5.553846,1.803846
470,1445,5.557692,1.807692
471,1446,5.561538,1.811538
472,1447,5.565385,1.815385
473,1448,5.569231,1.819231
474,1449,5.573077,1.823077
475,1450,5.576923,1.826923
476,1451,5.580769,1.830769
477,1452,5.584615,1.834615
478,1453,5.588462,1.838462
479,1454,5.592308,1.842308
480,1455,5.596154,1.846154
481,1456,5.600000,1.850000
482,1457,5.603846,1.853846
483,1458,5.607692,1.857692
484,1459,5.611538,1.861538
485,1460,5.615385,1.865385
486,1461,5.619231,1.869231
487,1462,5.623077,1.873077
488,1463,5.626923,1.876923
489,1464,5.630769,1.880769
490,1465,5.634615,1.884615
491,1466,5.638462,1.888462
492,1467,5.642308,1.892308
493,1468,5.646154,1.896154
494,1469,5.650000,1.900000
495,1470,5.653846,1.903846
496,1471,5.657692,1.907692
497,1472,5.661538,1.911538
498,1473,5.665385,1.915385
499,1474,5.669231,1.919231
500,1475,5.673077,1.923077
501,1476,5.676923,1.926923
502,1477,5.680769,1.930769
503,1478,5.684615,1.934615
504,1479,5.688462,1.938462
505,1480,5.692308,1.942308
506,1481,5.696154,1.946154
507,1482,5.700000,1.950000
508,1483,5.703846,1.953846
509,1484,5.707692,1.957692
510,1485,5.711538,1.961538
511,1486,5.715385,1.965385
512,1487,5.719231,1.969231
513,1488,5.723077,1.973077
514,1489,5.726923,1.976923
515,1490,5.730769,1.980769
516,1491,5.734615,1.984615
517,1492,5.738462,1.988462
518,1493,5.742308,1.992308
519,1494,5.746154,1.996154
520,1495,5.750000,2.000000
521,1496,5.753846,2.003846
522,1497,5.757692,2.007692
523,1498,5.761538,2.011538
524,1499,5.765385,2.015385
525,1500,5.769231,2.019231
526,1501,5.773077,2.023077
527,1502,5.776923,2.026923
528,1503,5.780769,2.030769
529,1504,5.784615,2.034615
530,1505,5.788462,2.038462
531,1506,5.792308,2.042308
532,1507,5.796154,2.046154
533,1508,5.800000,2.050000
534,1509,5.803846,2.053846
535,1510,5.807692,2.057692
536,1511,5.811538,2.061538
537,1512,5.815385,2.065385
538,1513,5.819231,2.069231
539,1514,5.823077,2.073077
540,1515,5.826923,2.076923
541,1516,5.830769,2.080769
542,1517,5.834615,2.084615
543,1518,5.838462,2.088462
544,1519,5.842308,2.092308
545,1520,5.846154,2.096154
546,1521,5.850000,2.100000
547,1522,5.853846,2.103846
548,1523,5.857692,2.107692
549,1524,5.861538,2.111538
550,1525,5.865385,2.115385
551,1526,5.869231,2.119231
552,1527,5.873077,2.123077
553,1528,5.876923,2.126923
554,1529,5.880769,2.130769
555,1530,5.884615,2.134615
556,1531,5.888462,2.138462
557,1532,5.892308,2.142308
558,1533,5.896154,2.146154
559,1534,5.900000,2.150000
560,1535,5.903846,2.153846
561,1536,5.907692,2.157692
562,1537,5.911538,2.161538
563,1538,5.915385,2.165385
564,1539,5.919231,2.169231
565,1540,5.923077,2.173077
566,1541,5.926923,2.176923
567,1542,5.930769,2.180769
568,1543,5.934615,2.184615
569,1544,5.938462,2.188462
570,1545,5.942308,2.192308
571,1546,5.946154,2.196154
572,1547,5.950000,2.200000
573,1548,5.953846,2.203846
574,1549,5.957692,2.207692
575,1550,5.961538,2.211538
576,1551,5.965385,2.215385
577,1552,5.969231,2.219231
578,1553,5.973077,2.223077
579,1554,5.976923,2.226923
580,1555,5.980769,2.230769
581,1556,5.984615,2.234615
582,1557,5.988462,2.238462
583,1558,5.992308,2.242308
584,1559,5.996154,2.246154
585,1560,6.000000,2.250000
586,1561,6.003846,2.253846
587,1562,6.007692,2.257692
588,1563,6.011538,2.261538
589,1564,6.015385,2.265385
590,1565,6.019231,2.269231
591,1566,6.023077,2.273077
592,1567,6.026923,2.276923
593,1568,6.030769,2.280769
594,1569,6.034615,2.284615
595,1570,6.038462,2.288462
596,1571,6.042308,2.292308
597,1572,6.046154,2.296154
598,1573,6.050000,2.300000
599,1574,6.053846,2.303846
600,1575,6.057692,2.307692
601,1576,6.061538,2.311538
602,1577,6.065385,2.315385
603,1578,6.069231,2.319231
604,1579,6.073077,2.323077
605,1580,6.076923,2.326923
606,1581,6.080769,2.330769
607,1582,6.084615,2.334615
608,1583,6.088462,2.338462
609,1584,6.092308,2.342308
610,1585,6.096154,2.346154
611,1586,6.100000,2.350000
612,1587,6.103846,2.353846
613,1588,6.107692,2.357692
614,1589,6.111538,2.361538
615,1590,6.115385,2.365385
